,ngram,count
33,never gonna quit it,20
32,we're never gonna quit,16
34,gonna quit it no,16
1977,why do you talk,16
31,no we're never gonna,16
2198,you wanna find love,12
1848,she way out she,12
2205,where the city is,12
2204,know where the city,12
2203,you know where the,12
2202,then you know where,12
2200,find love then you,12
2199,wanna find love then,12
2197,yeah you wanna find,12
1838,way out i've never,12
1849,way out she way,12
1850,out she way out,12
1837,she way out i've,12
2201,love then you know,12
1839,out i've never seen,12
1840,i've never seen her,12
1619,got a boyfriend anyway,9
2208,is yeah you wanna,9
1618,she's got a boyfriend,9
2207,city is yeah you,9
1983,do you talk so?,8
1978,do you talk so,8
36,it no we're never,8
35,quit it no we're,8
1979,you talk so loud?,8
30,petticoats no we're never,8
28,under our petticoats no,8
27,hidden under our petticoats,8
26,guns hidden under our,8
29,our petticoats no we're,8
497,it's just you and,6
1855,but i'm telling you,6
1842,seen her dance moves,6
1841,never seen her dance,6
1857,telling you she way,6
1856,i'm telling you she,6
1126,my broken veins say,6
1854,talk but i'm telling,6
1843,her dance moves dancing,6
1853,her talk but i'm,6
1852,seen her talk but,6
1851,never seen her talk,6
1858,you she way out,6
1845,moves dancing like she,6
1844,dance moves dancing like,6
1847,like she way out,6
2206,the city is yeah,6
506,figure my heart out?,6
505,you figure my heart,6
499,you and i tonight,6
500,and i tonight why,6
501,i tonight why don't,6
502,tonight why don't you,6
503,why don't you figure,6
504,don't you figure my,6
498,just you and i,6
1846,dancing like she way,6
1982,loud? why do you,6
1981,so loud? why do,6
1980,talk so loud? why,6
692,has he got enough,5
318,they're just girls they're,5
319,just girls they're just,5
320,girls they're just girls,5
1836,because she way out,5
1372,you look so cool,5
193,are here you know,4
190,said the feds are,4
191,the feds are here,4
192,feds are here you,4
300,girls breaking hearts eyes,4
25,got guns hidden under,4
1429,and you're losing your,4
301,breaking hearts eyes bright,4
302,hearts eyes bright uptight,4
304,bright uptight just girls,4
196,know seriously better go,4
189,go said the feds,4
315,if she's 17 they're,4
188,better go said the,4
1375,cool you look so,4
21,go where nobody knows,4
305,uptight just girls but,4
20,we go where nobody,4
660,there somebody who can,4
659,is there somebody who,4
1234,give you one more,4
183,think we better go,4
182,i think we better,4
181,well i think we,4
299,just girls breaking hearts,4
298,they're just girls breaking,4
106,you're never gonna quit,4
303,eyes bright uptight just,4
309,she can't be what,4
92,we're dressed in black,4
314,need if she's 17,4
311,be what you need,4
310,can't be what you,4
317,17 they're just girls,4
308,but she can't be,4
316,she's 17 they're just,4
1642,anyway she's got a,4
1641,boyfriend anyway she's got,4
87,with guns hidden under,4
1640,a boyfriend anyway she's,4
1987,you talk so? [verse,4
695,enough money to spend?,4
312,what you need if,4
306,just girls but she,4
307,girls but she can't,4
313,you need if she's,4
694,got enough money to,4
693,he got enough money,4
1458,or two [chorus] for,3
1455,stay another hour or,3
1456,another hour or two,3
1457,hour or two [chorus],3
1464,loud settle down! you,3
658,you is there somebody,3
1835,[chorus] because she way,3
290,the ground god help,3
291,ground god help me,3
1460,[chorus] for crying out,3
292,god help me now,3
1459,two [chorus] for crying,3
294,me now because [chorus],3
295,now because [chorus] they're,3
296,because [chorus] they're just,3
297,[chorus] they're just girls,3
1463,out loud settle down!,3
1462,crying out loud settle,3
1461,for crying out loud,3
293,help me now because,3
1482,hands my mouth now,3
661,somebody who can watch,3
1485,now i just stop,3
1480,house your hands my,3
1483,my mouth now i,3
1478,to my house your,3
1477,back to my house,3
1476,get back to my,3
1484,mouth now i just,3
1475,we get back to,3
1474,you we get back,3
1473,with you we get,3
1472,found with you we,3
1471,be found with you,3
1470,can't be found with,3
1486,i just stop myself,3
662,who can watch you?,3
1487,just stop myself around,3
1488,stop myself around you,3
1822,moving but she just,3
1823,but she just can't,3
1469,i can't be found,3
1468,know i can't be,3
1453,cause i stay another,3
1467,you know i can't,3
1466,down! you know i,3
1465,settle down! you know,3
1481,your hands my mouth,3
