,ngram,count
1801,i know the sound,28
1449,don't want your body,22
1448,i don't want your,22
2066,must be my dream,15
2065,this must be my,15
2607,loving someone oh oh,15
1804,sound i know the,14
1503,want your body i,14
1504,your body i don't,14
1505,body i don't want,14
1795,i know when you're,14
1796,know when you're around,14
1803,the sound i know,14
1802,know the sound i,14
1805,know the sound of,14
1806,the sound of your,14
1807,sound of your heart,14
39,i just had a,13
2608,someone oh oh loving,13
2609,oh oh loving someone,13
42,a change of heart,13
41,had a change of,13
40,just had a change,13
2603,yeah you should be,12
1794,well i know when,12
1815,when you're around 'cause,12
1816,you're around 'cause i,12
1817,around 'cause i know,12
1818,'cause i know the,12
2612,someone yeah you should,11
2611,loving someone yeah you,11
2610,oh loving someone yeah,11
2604,you should be loving,10
2606,be loving someone oh,10
2605,should be loving someone,10
1810,heart well i know,9
453,how can i find,9
452,then how can i,9
1808,of your heart well,9
1809,your heart well i,9
454,can i find myself?,9
263,early early early early,9
2318,i'm not giving it,9
2319,not giving it up,9
802,i'd love to go,8
803,love to go to,8
801,how i'd love to,8
804,to go to paris,8
1283,to fix my teeth,7
1281,i've got to fix,7
1280,says i've got to,7
1282,got to fix my,7
1279,she says i've got,7
267,monogamy there isn't much,7
1284,fix my teeth then,7
1285,my teeth then she's,7
1286,teeth then she's so,7
1287,then she's so american,7
1288,she's so american she's,7
1276,she's american if she,7
1268,we just don't eat,7
1289,so american she's american,7
1270,don't eat and we're,7
1269,just don't eat and,7
805,go to paris again,7
179,change of heart i,7
1264,she likes it cause,6
237,heart i just had,6
236,of heart i just,6
266,early monogamy there isn't,6
265,early early monogamy there,6
1450,want your body but,6
1263,if she likes it,6
455,i find myself? if,6
456,find myself? if i'm,6
1266,it cause we just,6
1267,cause we just don't,6
1278,if she says i've,6
1277,american if she says,6
457,myself? if i'm lost,6
1265,likes it cause we,6
2073,i found you this,5
2074,found you this must,5
2069,dream wide awake before,5
2072,before i found you,5
2071,awake before i found,5
2070,wide awake before i,5
2076,be my dream i,5
2068,my dream wide awake,5
2067,be my dream wide,5
2075,you this must be,5
2413,up i'm not giving,5
2077,my dream i can't,5
270,much early early monogamy,5
2096,to? this must be,5
2097,be my dream we,5
2098,my dream we can't,5
2099,dream we can't make,5
2100,we can't make love,5
2101,can't make love when,5
2102,make love when you,5
2103,love when you fly,5
2104,when you fly around,5
2105,you fly around me,5
2106,fly around me baby,5
2231,giving it up again,5
2474,what you wanna do,5
2473,that's what you wanna,5
2472,if that's what you,5
2468,and love me yeah,5
2411,giving it up i'm,5
2095,amount to? this must,5
2094,love amount to? this,5
2093,our love amount to?,5
2083,you boy wake me,5
269,isn't much early early,5
268,there isn't much early,5
2412,it up i'm not,5
2078,dream i can't wait,5
2079,i can't wait for,5
2080,can't wait for you,5
2082,for you boy wake,5
2084,boy wake me from,5
2092,all our love amount,5
2085,wake me from my,5
2086,me from my dream,5
2087,from my dream what,5
2088,my dream what does,5
2475,you wanna do oh,5
2090,what does all our,5
2091,does all our love,5
2089,dream what does all,5
2081,wait for you boy,5
1583,someone you love? get,4
1597,you my soul 'cause,4
459,i'm lost now then,4
460,lost now then how,4
461,now then how can,4
495,can you feel it?,4
2477,do oh yeah? no,4
1598,my soul 'cause we're,4
1599,soul 'cause we're never,4
1600,'cause we're never alone,4
2476,wanna do oh yeah?,4
907,and how i'd love,4
905,paris again and how,4
904,to paris again and,4
2471,yeah if that's what,4
2470,me yeah if that's,4
2469,love me yeah if,4
1584,you love? get someone,4
249,the big light off,4
248,turn the big light,4
247,go turn the big,4
458,if i'm lost now,4
906,again and how i'd,4
1596,give you my soul,4
1590,fuck that get money,4
1582,get someone you love?,4
1585,love? get someone you,4
1586,get someone you need?,4
1595,can't give you my,4
1588,you need? fuck that,4
1589,need? fuck that get,4
1294,eat and we're socially,4
1295,and we're socially relevant,4
1296,we're socially relevant she's,4
1297,socially relevant she's american,4
1587,someone you need? fuck,4
1594,i can't give you,4
1591,that get money i,4
449,if i'm lost then,4
1593,money i can't give,4
450,i'm lost then how,4
451,lost then how can,4
72,oh i just had,4
1592,get money i can't,4
2310,took a little while,3
2315,recognize that i i'm,3
2314,to recognize that i,3
2313,while to recognize that,3
2312,little while to recognize,3
1487,leaving with somebody else,3
1486,then leaving with somebody,3
2311,a little while to,3
2307,i lied it took,3
2309,it took a little,3
2308,lied it took a,3
2317,i i'm not giving,3
2306,money i lied it,3
2305,my money i lied,3
2304,without my money i,3
2303,better without my money,3
2302,it better without my,3
2301,liked it better without,3
2300,i liked it better,3
2299,said i liked it,3
2316,that i i'm not,3
1601,we're never alone get,3
1488,with somebody else no,3
2479,yeah? no and love,3
1603,alone get someone you,3
1498,body with somebody else,3
1497,your body with somebody,3
2297,when i said i,3
1496,picturing your body with,3
1495,i'm picturing your body,3
1494,but i'm picturing your,3
2478,oh yeah? no and,3
2480,no and love me,3
1489,somebody else no i,3
1493,body but i'm picturing,3
2467,[chorus] and love me,3
1492,your body but i'm,3
1491,no i don't want,3
1490,else no i don't,3
2358,it up giving it,3
1602,never alone get someone,3
2357,giving it up giving,3
2298,i said i liked,3
1227,in love with the,3
2296,me when i said,3
1470,your soul with somebody,3
1462,else our love has,3
1463,our love has gone,3
1464,love has gone cold,3
1465,has gone cold you're,3
1467,cold you're intertwining your,3
1468,you're intertwining your soul,3
1469,intertwining your soul with,3
1471,soul with somebody else,3
1480,you're looking through your,3
1472,with somebody else i'm,3
1473,somebody else i'm looking,3
1474,else i'm looking through,3
1475,i'm looking through you,3
1476,looking through you while,3
1477,through you while you're,3
1478,you while you're looking,3
1461,somebody else our love,3
1460,with somebody else our,3
1459,you with somebody else,3
1458,about you with somebody,3
1262,[chorus] if she likes,3
1271,eat and we're so,3
1272,and we're so intelligent,3
1273,we're so intelligent she's,3
1274,so intelligent she's american,3
1275,intelligent she's american if,3
1298,relevant she's american if,3
1447,[chorus] i don't want,3
1451,your body but i,3
1452,body but i hate,3
1453,but i hate to,3
1454,i hate to think,3
1455,hate to think about,3
1456,to think about you,3
1457,think about you with,3
1479,while you're looking through,3
809,to paris again [verse,3
2295,helping me when i,3
2286,have the capacity for,3
2279,my life a second,3
2280,life a second time,3
2281,a second time i,3
2282,second time i don't,3
2283,time i don't have,3
2284,i don't have the,3
2285,don't have the capacity,3
2287,the capacity for fucking,3
1481,looking through your phone,3
2288,capacity for fucking you're,3
2289,for fucking you're meant,3
2290,fucking you're meant to,3
1819,of your heart [verse,3
2292,meant to be helping,3
2293,to be helping me,3
2294,be helping me when,3
2278,over my life a,3
2277,taking over my life,3
2276,mind taking over my,3
2275,my mind taking over,3
1482,through your phone and,3
1483,your phone and then,3
1484,phone and then leaving,3
1485,and then leaving with,3
800,oh how i'd love,3
2265,[chorus] and you're the,3
2266,and you're the only,3
2267,you're the only thing,3
2268,the only thing that's,3
2269,only thing that's going,3
2270,thing that's going on,3
2271,that's going on in,3
2272,going on in my,3
2273,on in my mind,3
2274,in my mind taking,3
2291,you're meant to be,3
1466,gone cold you're intertwining,3
2714,[chorus] loving someone oh,3
251,light off before you,3
254,you go please don't,3
255,go please don't go,3
257,don't go turn the,3
256,please don't go turn,3
252,off before you go,3
253,before you go please,3
250,big light off before,3
486,"you see it?"" belly",2
494,bed can you feel,2
485,"can you see it?""",2
487,"see it?"" belly aches",2
488,"it?"" belly aches while",2
489,belly aches while you're,2
490,aches while you're in,2
491,while you're in bed,2
492,you're in bed can,2
493,in bed can you,2
1427,i thought it was,2
496,you feel it? can,2
497,feel it? can you,2
483,see it? can you,2
1908,[chorus] i know when,2
1903,'cause i know you,2
1895,tell me that you,2
1894,you tell me that,2
1893,don't you tell me,2
1892,so don't you tell,2
1891,through so don't you,2
1890,we're through so don't,2
1889,that we're through so,2
484,it? can you see,2
135,"said ""i've been so",2
482,you see it? can,2
1887,i'm glad that we're,2
1501,else [post-chorus] i don't,2
1500,somebody else [post-chorus] i,2
1499,with somebody else [post-chorus],2
2557,love me yeah oh,2
1095,me at all she,2
1096,at all she wears,2
1097,all she wears a,2
1098,she wears a frown,2
1099,wears a frown and,2
1100,a frown and dressing,2
1101,frown and dressing gown,2
1102,and dressing gown when,2
1103,dressing gown when she,2
465,i find myself? yeah,2
466,find myself? yeah yeah,2
1104,gown when she lays,2
1105,when she lays down,2
474,"and he said ""i've",2
475,"he said ""i've lost",2
476,"said ""i've lost my",2
477,"""i've lost my head",2
478,lost my head can,2
479,my head can you,2
480,head can you see,2
481,can you see it?,2
1888,glad that we're through,2
1882,i don't regret it,2
1886,but i'm glad that,2
1885,it but i'm glad,2
1820,your heart [verse 1],2
1797,when you're around cause,2
1798,you're around cause i,2
1799,around cause i know,2
1800,cause i know the,2
1814,[chorus] well i know,2
1299,american she's american [verse,2
2377,only lasts 3 minutes,2
2376,song only lasts 3,2
2375,the song only lasts,2
2374,but the song only,2
2373,long but the song,2
2372,for long but the,2
2371,last for long but,2
2370,won't last for long,2
2369,kick won't last for,2
2368,the kick won't last,2
2367,oh the kick won't,2
1293,and if she likes,2
1292,american and if she,2
1291,she's american and if,2
1290,american she's american and,2
2359,up giving it up,2
1821,heart [verse 1] i,2
134,"she said ""i've been",2
2715,oh loving someone oh,2
1874,does it matter if,2
1884,regret it but i'm,2
1883,don't regret it but,2
1511,c'mon baby i know,2
1881,you? i don't regret,2
1880,to you? i don't,2
1879,lie to you? i,2
1878,i lie to you?,2
1877,if i lie to,2
1876,matter if i lie,2
1875,it matter if i,2
1873,what does it matter,2
1226,fall in love with,2
1872,"you"" what does it",2
1871,"love you"" what does",2
1870,"""i love you"" what",2
1869,"said ""i love you""",2
1868,"i said ""i love",2
1867,"conceited i said ""i",2
1866,so conceited i said,2
2451,yourself on a plane,2
1865,you're so conceited i,2
1864,[pre-chorus] you're so conceited,2
1502,[post-chorus] i don't want,2
498,it? can you feel,2
338,i'm broken and bleeding,2
315,and if i believe,2
346,there's no use singing,2
345,help there's no use,2
344,for help there's no,2
343,begging for help there's,2
342,and begging for help,2
318,believe you will that,2
341,bleeding and begging for,2
340,and bleeding and begging,2
339,broken and bleeding and,2
319,you will that make,2
329,i need you is,2
337,and i'm broken and,2
320,will that make it,2
321,that make it stop?,2
322,make it stop? if,2
323,it stop? if i,2
336,want? and i'm broken,2
335,you want? and i'm,2
334,what you want? and,2
324,stop? if i told,2
325,if i told you,2
333,that what you want?,2
326,i told you i,2
328,you i need you,2
327,told you i need,2
317,i believe you will,2
316,if i believe you,2
331,you is that what,2
2107,around me baby [verse,2
332,is that what you,2
314,[chorus] and if i,2
330,need you is that,2
2034,tell you 'bout this,2
2064,[chorus] this must be,2
355,you jesus show yourself,2
354,asking you jesus show,2
353,i'm asking you jesus,2
352,and i'm asking you,2
351,song and i'm asking,2
350,a song and i'm,2
349,singing a song and,2
348,use singing a song,2
347,no use singing a,2
136,"""i've been so worried",2
1845,shoes and your tunes,1
1855,i thought that you,1
1854,and i thought that,1
1847,your tunes but i,1
1846,and your tunes but,1
1857,that you were straight,1
1848,tunes but i might,1
1849,but i might move,1
1850,i might move in,1
1851,might move in and,1
1852,move in and i,1
1853,in and i thought,1
1856,thought that you were,1
1996,hann] [chorus] well i,1
1858,you were straight now,1
1859,were straight now i'm,1
2040,thought she'd rearrange my,1
2041,she'd rearrange my world,1
2042,rearrange my world takes,1
2043,my world takes a,1
2044,world takes a particular,1
2045,takes a particular type,1
2046,a particular type of,1
2047,particular type of girl,1
2048,type of girl to,1
2049,of girl to put,1
2050,girl to put my,1
2051,to put my heart,1
2052,put my heart under,1
2053,my heart under arrest,1
1843,with your shoes and,1
1863,"wondering"" [pre-chorus] you're so",1
1862,"i'm wondering"" [pre-chorus] you're",1
1861,"now i'm wondering"" [pre-chorus]",1
1860,"straight now i'm wondering""",1
1844,your shoes and your,1
1835,cum again? she said,1
1842,problem with your shoes,1
2063,chest? [chorus] this must,1
2814,spoken word] i am,1
2815,word] i am forever,1
2816,i am forever in,1
2054,heart under arrest so,1
2055,under arrest so why's,1
2056,arrest so why's this,1
2057,so why's this beating,1
2058,why's this beating on,1
2059,this beating on my,1
2060,beating on my chest?,1
2061,on my chest? [chorus],1
2062,my chest? [chorus] this,1
2817,am forever in alongside,1
2812,be [interlude: spoken word],1
2818,forever in alongside the,1
2819,in alongside the boys,1
2805,i think i should,1
2820,alongside the boys in,1
2821,the boys in jumpers,1
2822,boys in jumpers on,1
2823,in jumpers on bikes,1
2824,jumpers on bikes from,1
2825,on bikes from schools,1
2826,bikes from schools and,1
2827,from schools and cars,1
2828,schools and cars with,1
2813,[interlude: spoken word] i,1
1811,of your heart [chorus],1
1841,a problem with your,1
1829,your name oh baby,1
2806,think i should be,1
1840,got a problem with,1
1839,"""i've got a problem",1
1838,"said ""i've got a",1
1837,"she said ""i've got",1
1836,"again? she said ""i've",1
1897,"that you ""just don't",1
1834,you cum again? she,1
1833,won't you cum again?,1
1832,baby won't you cum,1
1831,oh baby won't you,1
1830,name oh baby won't,1
1828,forgot your name oh,1
1812,your heart [chorus] well,1
1827,i forgot your name,1
1826,believe i forgot your,1
1825,can't believe i forgot,1
1824,i can't believe i,1
1823,1] i can't believe,1
1822,[verse 1] i can't,1
2807,i should be [chorus],1
2808,should be [chorus] loving,1
2809,be [chorus] loving someone,1
2810,you should be [interlude:,1
2811,should be [interlude: spoken,1
1813,heart [chorus] well i,1
1896,"me that you ""just",1
1898,"you ""just don't get",1
