,ngram,count
256,i know,51
476,i don't,30
1509,the sound,28
1508,know the,28
2113,loving someone,26
1232,your body,25
383,don't want,23
1231,want your,22
1711,my dream,20
2104,oh oh,17
538,when you're,16
230,early early,16
100,of your,16
38,i just,16
1709,must be,16
1267,body i,15
1710,be my,15
1708,this must,15
1839,giving it,15
1840,it up,15
2114,someone oh,15
1320,should be,14
1505,you're around,14
1504,know when,14
40,had a,14
1103,she's american,14
1517,'cause i,14
1512,your heart,14
1511,sound of,14
1510,sound i,14
1352,well i,14
41,a change,14
2115,oh loving,13
42,change of,13
43,of heart,13
2111,you should,13
39,just had,13
1211,somebody else,13
37,and i,12
1516,around 'cause,12
2110,yeah you,12
1090,if she,12
1238,with somebody,12
238,[verse 1],11
2116,someone yeah,11
1337,i can't,11
386,go to,10
2112,be loving,10
315,[verse 2],10
709,to paris,9
1513,heart well,9
385,to go,9
401,then how,9
589,i think,9
272,[chorus] and,9
1903,i'm not,9
1904,not giving,9
1096,just don't,9
402,how can,9
403,can i,9
404,i find,9
511,but i,9
405,find myself?,9
1240,our love,8
1327,get someone,8
398,if i'm,8
586,for you,8
294,and i'm,8
1070,i've got,8
1328,someone you,8
274,if i,8
706,how i'd,8
782,i said,8
707,i'd love,8
708,love to,8
710,paris again,8
420,can you,8
1021,love me,8
399,i'm lost,8
1115,american she's,7
241,got a,7
1097,don't eat,7
232,monogamy there,7
829,on a,7
1095,we just,7
1098,eat and,7
233,there isn't,7
291,what you,7
1092,likes it,7
1114,so american,7
234,isn't much,7
1109,fix my,7
1108,to fix,7
1107,got to,7
172,heart i,7
1106,says i've,7
1105,she says,7
1111,teeth then,7
1104,american if,7
1112,then she's,7
1099,and we're,7
1336,money i,7
184,in the,7
624,but i'm,7
1110,my teeth,7
1091,she likes,7
1113,she's so,7
1557,what does,7
231,early monogamy,6
128,she said,6
2007,me yeah,6
124,on the,6
527,from my,6
1251,looking through,6
1093,it cause,6
1094,cause we,6
663,in a,6
2006,and love,6
1233,body but,6
406,myself? if,6
1294,that you,6
317,i thought,6
421,you see,6
273,and if,6
235,much early,5
1727,does all,5
1726,dream what,5
1725,me from,5
1724,wake me,5
1723,boy wake,5
1722,you boy,5
1719,dream i,5
1721,wait for,5
1720,can't wait,5
797,and how,5
1718,you this,5
1717,found you,5
552,that i,5
1716,i found,5
1728,all our,5
1230,[chorus] i,5
1729,love amount,5
1736,love when,5
1741,me baby,5
7,to be,5
1740,around me,5
1739,fly around,5
1738,you fly,5
1737,when you,5
1735,make love,5
487,when i,5
1734,can't make,5
1733,we can't,5
1732,dream we,5
1731,to? this,5
1730,amount to?,5
2013,oh yeah?,5
2014,yeah? no,5
2012,do oh,5
114,and then,5
1714,awake before,5
84,time i,5
263,in my,5
2011,wanna do,5
129,"said ""i've",5
1841,up again,5
1964,up i'm,5
1712,dream wide,5
71,oh i,5
1713,wide awake,5
412,yeah if,5
428,while you're,5
1715,before i,5
2008,if that's,5
2009,that's what,5
2010,you wanna,5
