,ngram,count
146,the house that we,2
607,[pre-chorus] drink fall spew,2
608,drink fall spew telephone,2
1195,she's so cool she,2
144,i love the house,2
609,fall spew telephone you,2
1171,straight lines they unwind,2
610,spew telephone you if,2
611,telephone you if you're,2
1224,2] slow down yeah,2
1191,the bleeding's incidental cause,2
1192,bleeding's incidental cause she's,2
1193,incidental cause she's so,2
154,love you all too,2
155,you all too much,2
1122,[chorus] because you're my,2
1172,lines they unwind you,2
1180,thing with her eyes,2
1875,and so am i,2
1874,are and so am,2
1181,with her eyes that,2
1182,her eyes that says,2
1183,"eyes that says ""we're",2
1184,"that says ""we're off",2
1185,"says ""we're off soon""",2
1186,"""we're off soon"" she",2
1187,"off soon"" she says",2
1188,"soon"" she says the",2
1189,she says the bleeding's,2
961,now dead now dead,2
1179,little thing with her,2
1178,a little thing with,2
1177,does a little thing,2
1010,don't you mind [verse,2
1174,unwind you she does,2
1173,they unwind you she,2
1194,cause she's so cool,2
1190,says the bleeding's incidental,2
1170,1] straight lines they,2
1221,the time [verse 2],2
923,was getting high with,2
922,i was getting high,2
921,mornings i was getting,2
920,the mornings i was,2
919,in the mornings i,2
940,cause everybody is pushing,2
1222,time [verse 2] slow,2
1220,all the time [verse,2
1223,[verse 2] slow down,2
613,if you're alone in,2
614,you're alone in your,2
615,alone in your room,2
616,in your room what's,2
1056,mother through hell don't,2
1055,your mother through hell,2
1054,put your mother through,2
924,getting high with you,2
612,you if you're alone,2
1202,fun if i've only,2
1209,"wine"" [chorus] and now",2
1169,[verse 1] straight lines,2
902,what you sitting 'round,2
903,you sitting 'round here,2
904,sitting 'round here for,2
905,'round here for and,2
1200,"""i'm no fun if",2
1201,no fun if i've,2
1053,i put your mother,2
1203,if i've only a,2
906,here for and why,2
1204,i've only a bottle,2
1205,only a bottle of,2
1206,"a bottle of wine""",2
1207,"bottle of wine"" [chorus]",2
1208,"of wine"" [chorus] and",2
1405,"""is that alright?"" ""well",1
1406,"that alright?"" ""well it's",1
1414,"and me "" she",1
1407,"alright?"" ""well it's coming",1
1408,"""well it's coming to",1
1409,it's coming to the,1
1410,the end of you,1
1411,end of you and,1
1412,of you and me,1
1413,"you and me """,1
1420,how can you complain,1
1454,town so get me,1
1419,and how can you,1
1418,"alright?"" and how can",1
1417,"that alright?"" and how",1
1416,"""is that alright?"" and",1
1415,"me "" she said",1
1455,so get me one,1
1464,you out i don't,1
1456,get me one off,1
1372,give's a go on,1
1380,getting along with your,1
1379,you getting along with,1
1378,how you getting along,1
1377,bike how you getting,1
1376,your bike how you,1
1375,on your bike how,1
1374,go on your bike,1
1373,a go on your,1
1371,"television"" give's a go",1
1457,me one off adam,1
1370,"the television"" give's a",1
1369,"on the television"" give's",1
1368,"mother's on the television""",1
1367,your mother's on the,1
