,term,weight
62,chorus,0.03898050974512743
493,verse,0.03748125937031484
505,way,0.030071862764757276
239,just,0.02572138600543981
448,talk,0.024997853107038635
156,got,0.02390019327857142
152,gonna,0.02127804716791668
247,know,0.020145346419935536
350,quit,0.016873648025667362
154,gonna quit,0.016873648025667362
39,bridge,0.014992503748125934
347,prechorus,0.014992503748125934
216,im,0.014644865664433331
393,shes,0.013377336497682694
360,said,0.012745947947185803
380,say,0.012344882456433772
542,youre,0.011379153622924146
95,dont,0.011334625807544078
348,pressure,0.010284155161669055
58,change,0.010284155161669055
59,change pressure,0.010284155161669055
292,love,0.010047833595519076
461,theyre,0.009910348694190777
290,loud,0.009741466063142577
318,oh,0.009326501991503306
146,girls,0.009114692994518486
53,cause,0.008692893744041056
113,face,0.008602887486378588
229,ive,0.008524434587799222
267,like,0.008451582929277572
303,money,0.008363727199784845
241,just girls,0.008305151081446253
213,ill,0.007794447041816791
398,shes got,0.007792884547764706
449,talk loud,0.007632748247131236
211,house,0.007444808482906893
463,theyre just girls,0.007358302590222737
462,theyre just,0.007358302590222737
386,seen,0.007278794911680554
16,better,0.007069147200377321
438,stay,0.006874246665051145
306,mouth,0.006721985024553784
232,ive seen,0.006721090173762474
465,think,0.006716021699162226
33,boyfriend,0.006665851027089735
527,yeah,0.006604161258890531
453,telling,0.006526240196195363
189,heart,0.006129307473900588
399,shes got boyfriend,0.006020813176320608
157,got boyfriend,0.006020813176320608
335,outro,0.005997001499250375
70,cool,0.0057636552148922875
476,tonight,0.005761978701378834
246,just tonight,0.005761978701378834
64,city,0.005667002735591524
194,hes,0.005618462299184225
133,friends,0.005545938106451256
442,stop,0.005480493408627694
402,shoes,0.005176259951101979
277,look,0.004996151678343772
44,broken,0.004807940416946213
199,hey,0.004768854898191886
533,yeah wanna love know,0.004683285797195646
502,wanna love know city,0.004683285797195646
531,yeah wanna,0.004683285797195646
532,yeah wanna love,0.004683285797195646
501,wanna love know,0.004683285797195646
500,wanna love,0.004683285797195646
499,wanna,0.004683285797195646
293,love know,0.004683285797195646
294,love know city,0.004683285797195646
248,know city,0.004683285797195646
259,knows,0.004563348024910215
305,moneys,0.004497751124437781
390,seriously,0.0044459674073546035
391,seriously better,0.0044459674073546035
132,floor,0.004423187291634153
182,hands,0.004348770874154825
212,id,0.004308588586134906
425,somebody,0.004159560238468686
128,fight,0.004070030050159106
179,guns hidden petticoats,0.004067416731407781
201,hidden petticoats,0.004067416731407781
340,petticoats,0.004067416731407781
178,guns hidden,0.004067416731407781
177,guns,0.004067416731407781
200,hidden,0.004067416731407781
222,im telling way,0.004046949156826141
454,telling way,0.004046949156826141
221,im telling,0.004046949156826141
538,youll,0.004039080198968477
171,ground,0.004031725437900883
270,like way,0.003957970345061302
83,dancing like way,0.003957970345061302
82,dancing like,0.003957970345061302
81,dancing,0.003957970345061302
551,youve,0.003947864135713492
342,place,0.003920741409864543
130,figure heart,0.003843143776683918
96,dont figure,0.003843143776683918
97,dont figure heart,0.003843143776683918
129,figure,0.003843143776683918
455,thats,0.003841274461062208
481,town,0.003833607138818815
471,time,0.003811764705477089
473,told,0.003662130702996336
266,lie,0.0036508336708394513
76,crying,0.0036457667871740585
100,dressed,0.003604507817834106
543,youre gonna,0.0034950215626767377
544,youre gonna quit,0.0034950215626767377
458,theres,0.003472058442042455
180,hair,0.0033942063480910246
184,hard,0.003371041589937459
51,brought,0.003318225612700403
0,17,0.0033114366968597982
149,god,0.003286320569731707
203,home,0.003204037909266144
