,term,weight
299,verse,0.048526863084921996
31,chorus,0.04648538879149892
180,love,0.025608594396503565
233,say,0.019702041293184487
54,die,0.01960372091577946
173,living,0.01925584819196388
289,times,0.019227439717897983
339,youre,0.018113395824617854
307,wanna die,0.018080672782259326
306,wanna,0.018080672782259326
115,id,0.017706896342259602
116,id love,0.01722404284699869
279,time,0.015270991233392673
147,just,0.014556177509986444
321,wont,0.014473308045828465
292,try,0.014047569285205863
60,dont,0.01298498520038336
191,mind,0.01247126653734117
207,outro,0.0121317157712305
170,like,0.01161487805987749
199,oh,0.011562559320563888
172,listen,0.010398613518197573
120,im,0.01038144211059286
96,got,0.009601597741888809
271,things,0.009228772575536956
136,ive,0.008726977160259526
273,think,0.008576410533569334
128,inside,0.007924888616530932
129,inside mind,0.007924888616530932
322,wont try,0.007522866803491228
118,ill,0.007324685883058483
79,feelings,0.007308277943661851
182,make,0.007301877892977351
5,believe,0.007039719319112966
17,bridge,0.006932409012131715
227,said,0.006871264121033181
22,cause,0.006655852834114816
293,twotime,0.006645101604780828
160,know,0.006601598624861886
183,man,0.00656226202681804
84,fine,0.006494603897376636
186,maybe,0.006419363348497212
169,life,0.00606370817160002
335,young,0.005760048090533855
6,believe say,0.005457719659570462
260,tell,0.005390663906454847
18,called,0.005349344521486724
192,missing,0.005199306759098786
218,prechorus,0.005199306759098786
193,mistake,0.005199306759098786
330,yes,0.00518524873710478
32,city,0.0051243313967474875
336,young city,0.0051243313967474875
0,angela,0.0050868798173815885
174,lonely,0.004889868424703194
247,sit,0.004787265433362391
196,need,0.004775674475108989
332,yes id love,0.0047513552904530475
331,yes id,0.0047513552904530475
90,friends,0.004678816752682958
166,liar,0.00466254541296735
308,want,0.004543315486188663
179,lose,0.004533889984296614
223,required,0.004499560204989298
80,feelings ive,0.004480020644240688
137,ive got,0.004480020644240688
81,feelings ive got,0.004480020644240688
187,maybe times,0.004431397604533245
333,youd,0.004373694526408881
324,write,0.004350442857069689
19,called time,0.004335097903881698
165,let,0.004271233003970599
43,danny,0.004160861493669298
