incident_id,date,state,city_or_county,address,n_killed,n_injured,incident_url,source_url,,congressional_district,gun_stolen,gun_type,latitude,longitude,n_guns_involved,notes,participant_age,participant_age_group,participant_gender,,,,,,state_house_district,state_senate_district
1019625,1/1/18,New Jersey,Trenton,100 block of Hewitt St,0,0,http://www.gunviolencearchive.org/incident/1019625,http://www.trentonian.com/general-news/20180102/two-arrested-after-trenton-cops-find-loaded-gun,,,0::Unknown,0::Unknown,40.2082,-74.7455,1,Traffic stop; handgun loaded with hollow points found on car passenger.,0::18,0::Adult 18+,0::Male,,,,,,,
1018568,1/1/18,Massachusetts,Boston,Orton Marotta Way,0,0,http://www.gunviolencearchive.org/incident/1018568,https://twitter.com/southiescanner/status/947973066126217221,,8,0::Unknown,0::Unknown,42.3379,-71.0547,1,,,,,,,,,,187,1
1018575,1/1/18,Massachusetts,Boston,236 Dorchester St,0,0,http://www.gunviolencearchive.org/incident/1018575,https://twitter.com/southiescanner/status/947966523955662851,,8,0::Unknown,0::Unknown,42.3324,-71.0517,1,,,,,,,,,,187,1
1018492,1/1/18,California,Oakland,5400 block of Crittenden St,1,0,http://www.gunviolencearchive.org/incident/1018492,https://www.eastbaytimes.com/2018/01/03/man-charged-with-murder-in-oakland-fatal-shooting-of-girlfriend/,,13,0::Unknown,0::Unknown,37.7698,-122.204,1,woman found dead in her home; shot by BF,0::38||1::44,0::Adult 18+||1::Adult 18+,0::Female,,,,,,18,9
1022336,1/1/18,New York,Buffalo,Riley St and Roehrer Ave,0,3,http://www.gunviolencearchive.org/incident/1022336,http://buffalonews.com/2018/01/07/car-riddled-with-bullets-injuring-three-on-new-years-day/,,26,0::Unknown,0::40 SW,42.9093,-78.8491,1,Female driver shot in shoulder; 2 males also shot in right and left sides. Car riddled w/bullets. Several .40 casings found,,0::Adult 18+,0::Female||1::Male||2::Male,,,,,,141,63
1028510,1/1/18,California,Auburn,Sapphire Dr and Quartz Dr,0,0,http://www.gunviolencearchive.org/incident/1028510,http://www.auburnjournal.com/article/1/15/18/sheriffs-log-jan-14-2018,,1,0::Unknown,0::Unknown,38.9473,-121.102,1,felony possession firearms with drug arrest,0::27,0::Adult 18+,0::Male,,,,,,1,1
1020897,1/1/18,Arkansas,Little Rock,Colonel Glenn Road,0,1,http://www.gunviolencearchive.org/incident/1020897,http://www.arkansasonline.com/news/2018/jan/05/suspect-in-2-crimes-shot-fleeing-one-lr/?f=crime,,2,0::Unknown,0::Unknown,34.7204,-92.4523,1,,0::30||1::18||2::18,0::Adult 18+||1::Adult 18+||2::Adult 18+,0::Male||1::Female||2::Male,,,,,,30,33
1018490,1/1/18,California,Garberville,Bell Springs Rd and Alderpoint Rd,1,0,http://www.gunviolencearchive.org/incident/1018490,https://lostcoastoutpost.com/2018/jan/3/sheriffs-office-identifies-sohum-homicide-victim-a/,,2,0::Unknown,0::Unknown,40.1008,-123.687,1,vic found by the side of the road,0::28,0::Adult 18+,0::Male,,,,,,2,2
1018643,1/1/18,Michigan,Kalamazoo,1300 block of Princeton Ave,0,0,http://www.gunviolencearchive.org/incident/1018643,http://www.mlive.com/news/kalamazoo/index.ssf/2018/01/shots_fired_at_midnight_leads.html,,6,0::Stolen||1::Unknown,0::Handgun||1::Handgun,42.3034,-85.5888,2,"firing shots off back porch near midnight 12/31/17-1/1/18, led to home search, drugs, 2 handguns incl 1 stolen from Van Buren Co",0::54,0::Adult 18+,0::Male,,,,,,60,20
1018330,1/1/18,Ohio,Lorain,807 W 22nd St,1,0,http://www.gunviolencearchive.org/incident/1018330,http://www.chroniclet.com/cops-and-courts/2018/03/02/Two-Lorain-men-indicted-in-New-Year-39-s-Day-homicide.html,,9,0::Unknown,0::9mm,41.4494,-82.176,1,mulitiple gun shot wounds,0::45||1::42||2::38,0::Adult 18+||1::Adult 18+||2::Adult 18+,0::Male||1::Male||2::Male,,,,,,56,13
1018659,1/1/18,Michigan,Redford Charter Township,Olympia and Grand River Ave,1,0,http://www.gunviolencearchive.org/incident/1018659,https://www.clickondetroit.com/news/man-fatally-shot-at-recording-studio-in-redford-township,,13,0::Unknown,0::Unknown,42.4312,-83.2946,1,"AKA ""Honesty"" shot in recording studio",0::27,0::Adult 18+,0::Male,,,,,,10,5
1018676,1/1/18,California,Hemet,636 W Florida Ave,0,1,http://www.gunviolencearchive.org/incident/1018676,https://www.nbclosangeles.com/on-air/as-seen-on/Estranged-Husband-Shoots-Wife-and-at-Officer_Los-Angeles-467594243.html,,36,0::Unknown,0::Unknown,33.7476,-116.978,1,fired at police on Latham Ave before arrest,0::35||1::39,0::Adult 18+||1::Adult 18+,0::Female||1::Male,,,,,,42,23
1018210,1/1/18,Michigan,Detroit,800 block of E State Fair,0,1,http://www.gunviolencearchive.org/incident/1018210,http://www.detroitnews.com/story/news/local/detroit-city/2018/01/01/6-shot-overnight-detroit-2018-begins/994078001/,,14,0::Unknown,0::Unknown,42.4397,-83.0962,1,,0::24,0::Adult 18+,0::Male,,,,,,3,4
1047572,1/1/18,California,Torrance,1524 W 205th St,1,1,http://www.gunviolencearchive.org/incident/1047572,http://homicide.latimes.com/post/derek-schaefer/,,43,0::Unknown,0::Unknown,33.8447,-118.305,1,near Wal-Mart,0::17||1::16,0::Teen 12-17||1::Teen 12-17,0::Male||1::Male,,,,,,64,35
