time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-10-08T19:52:02.310Z,37.3655,141.5211,35,4.7,mb,,129,0.768,0.71,us,us1000h8xg,2018-10-17T17:06:28.425Z,"47km ESE of Namie, Japan",earthquake,6.9,1.9,0.042,175,reviewed,us,us
2018-10-08T17:45:14.970Z,42.6584,141.8895,24.97,4.4,mb,,72,1.138,0.74,us,us1000h8vs,2018-10-17T22:24:45.040Z,"23km E of Tomakomai, Japan",earthquake,6.9,5.3,0.06,80,reviewed,us,us
2018-10-08T14:44:46.870Z,23.6085,143.815,12.11,4.7,mb,,114,3.772,0.58,us,us1000hb63,2018-10-16T13:31:33.040Z,"283km ESE of Iwo Jima, Japan",earthquake,11.3,5.4,0.106,27,reviewed,us,us
2018-10-08T14:18:05.220Z,23.5895,143.7463,10,4.5,mb,,120,3.766,0.53,us,us1000hb5s,2018-10-15T17:08:58.040Z,"278km ESE of Iwo Jima, Japan",earthquake,13,1.9,0.09,36,reviewed,us,us
2018-10-08T12:53:59.330Z,42.6258,141.9864,34,4.6,mb,,68,1.061,0.66,us,us1000h8q7,2018-10-19T07:47:07.566Z,"31km E of Tomakomai, Japan",earthquake,7.4,2.3,0.061,81,reviewed,us,us
2018-10-08T05:45:32.250Z,23.6612,143.9489,45.93,4.9,mb,,101,3.773,0.92,us,us1000h8mj,2018-10-08T06:07:44.040Z,"293km ESE of Iwo Jima, Japan",earthquake,10.9,7.6,0.05,125,reviewed,us,us
2018-10-08T01:08:02.000Z,41.771,141.262,83.89,4.2,mb,,106,0.991,0.94,us,us1000hb5a,2018-10-15T00:25:14.040Z,"43km E of Hakodate, Japan",earthquake,8,8.7,0.186,8,reviewed,us,us
2018-10-07T14:51:36.600Z,40.249,142.628,45.53,4.1,mb,,154,1.308,0.81,us,us1000hb41,2018-10-14T15:55:11.040Z,"89km NE of Miyako, Japan",earthquake,8.4,4.5,0.198,7,reviewed,us,us
2018-10-07T03:01:10.700Z,26.5226,140.5479,422.62,4.7,mb,,82,1.57,0.85,us,us1000h8c2,2018-10-07T03:19:30.040Z,"177km WSW of Chichi-shima, Japan",earthquake,10.7,7.5,0.029,352,reviewed,us,us
2018-10-07T01:14:19.870Z,35.0112,137.5054,41.56,4.8,mb,,66,0.516,0.8,us,us1000h8b9,2018-10-12T04:40:34.277Z,"12km N of Shinshiro, Japan",earthquake,4.2,6.2,0.061,82,reviewed,us,us
2018-10-06T15:18:43.780Z,26.5087,129.4566,10,4.8,mb,,85,1.108,0.83,us,us1000h84n,2018-10-06T15:43:54.040Z,"147km E of Nago, Japan",earthquake,6.1,1.9,0.116,23,reviewed,us,us
2018-10-06T04:14:24.930Z,42.6899,141.9414,42.84,4.6,mb,,72,1.125,0.72,us,us1000h800,2018-10-14T22:10:15.459Z,"27km ESE of Chitose, Japan",earthquake,2.4,7.2,0.066,68,reviewed,us,us
2018-10-05T01:05:32.340Z,26.7493,129.5973,10,4.6,mb,,118,1.187,0.66,us,us1000hams,2018-10-12T01:14:49.040Z,"162km E of Nago, Japan",earthquake,8.1,2,0.206,8,reviewed,us,us
