Year,Personal Life,Controversies,Novels and novellas,Short story collections,Retrospectives and omnibus collections,Nonfiction,Video Games,TV,Cordwainer Bird,"Awards, Misc",Georges Melies Fantasy Film Award,Edgar Allen Poe Award,Bram Stoker Award,Hugo Award,Jupiter Award (Instructors of Science Fiction in Higher Education),Locus Poll Award,Nebula Award,Writers Guild of America,World Fantasy Award
1980,,"Ellison and Ben Bova claim that the TV series Future Cop was based on their short story ""Brillo"", winning a $337,000 judgement.",All the Lies That Are My Life (later included in the author's 1980 collection Shatterday),Shatterday ,,,,,"The Starlost
""Deception"" (TV Movie) 

The Starlost
""The Beginning"" (TV Movie)",,,,,,,,,,
1981,,,,,,,,,,,,,,,,,,,
1982,,,,Stalking the Nightmare ,,,,,,,,,,,,,,,
1983,,,,,,,,,,,,,,,,"""Djinn, No Chaser"" (best novelette, 1983)",,,
1984,,"Alleges that James Cameron's film The Terminator drew from material from an episode of the original Outer Limits which Ellison had scripted, ""Soldier"" (1964). They settle out of court for an undisclosed sum.",,,,Sleepless Nights in the Procrustean Bed,,,,,,,,,,,,,
1985,,Allegedly assaults author and critic Charles Platt.,,,,An Edge in My Voice ,,"The Twilight Zone        
""Teaches Aide""
""Paladin of the Lost Hour""   
""The Beacon""
""One Life, Furnished in Early Poverty""  
""Shatterday""
""A Little Peace and Quiet""",,,,,,,,"Sleepless Nights in the Procrustean Bed (introduction) (best related non-fiction, 1985)",,,
1986,Marries Susan Toth.,,,,,,,"The Twilight Zone
""Gramma""        
""Personal Demons""
""Cold Reading"" ",,,,,,"""Paladin of the Lost Hour"" (best novelette, 1986)",,"Medea: Harlan's World (best anthology, 1986)

Paladin of the Lost Hour (best novelette, 1986)

""With Virgil Oddum at the East Pole"" (best short story, 1986)",,,
1987,,,,,The Essential Ellison: a 35-Year Retrospective ,,,,,,,,"Bram Stoker Award
The Essential Ellison (best collection, 1987)",,,,,"Paladin of the Lost Hour / The Twilight Zone (Best Anthology Episode/Single Program, 1987)",
1988,,,,Angry Candy ,,,,,,"American Mystery Award
""Soft Monkey"" (best short story, 1988)",,"Edgar Allan Poe Award
""Soft Monkey"" (best short story, 1988)",,,,,,,
1989,,,,,,Harlan Ellison's Watching ,,"The Twilight Zone
""Crazy as a Soup Sandwich""        ",,,,,"Bram Stoker Award
Harlan Ellison's Watching (best non-fiction, 1989 – tie)",,,"Angry Candy (best collection, 1989)

The Function of Dream Sleep (best novelette, 1989)

""Eidolons"" (best short story, 1989)",,,"Angry Candy (Best Collection, 1989)"
1990,,,,,,The Harlan Ellison Hornbook,,,,,,,,,,,,,
1991,,,Run for the Stars ,,Dreams With Sharp Teeth ,,,,,"Asimov's Science Fiction Magazine Reader's Poll
I, Robot screenplay (Special award, 1988)[",,,,,,,,,
1992,,,,,,,,,,,,,,,,,,,
1993,,"Threatens to sue New England Science Fiction Association (NESFA) for publishing ""Himself in Anachron"", a short story written by Cordwainer Smith and sold to Ellison for the book by his widow.",Mefisto in Onyx ,,,,,,,"Best American Short Stories
""The Man who Rowed Christopher Columbus Ashore"" (included in the 1993 anthology)",,,"Bram Stoker Award
Mefisto in Onyx (best novella, 1993 – tie)",,,,,,"Lifetime Achievement Award, 1993"
1994,Suffers heart attack.,,,Mind Fields ,,,,,,"International Horror Guild Award
1994 Living Legend Award",,,,,,"Mefisto in Onyx (best novella, 1994)",,,
1995,,,,,,,"I Have No Mouth, and I Must Scream",,,,,,"Bram Stoker Award
""Chatting With Anubis"" (best short story, 1995)

""Bram Stoker Award
Lifetime Achievement Award, 1995""",,,,,,
1996,,,,,"Edgeworks 1

Edgeworks 2",,,,,"Deathrealm Award
Chatting with Anubis (best short fiction, 1996)",,,,,,,,,
1997,,,,Slippage ,"Edgeworks 3 

Edgeworks 4",,,,,,,,,,,,,,
1998,,,,,,,,"Babylon 5        
""A View from the Gallery""

Silver Surfer        
""Antibody""

Babylon 5        
""Objects in Motion""","The Hunger        
""The Face of Helene Bournouw""        
""Footsteps""        ",,,,,,,"Slippage (best collection, 1998)",,,
1999,,,,,,,,"The Outer Limits (TV Series) 
The Human Operators""",,"Audio Publishers Association
The Titanic Disaster Hearings: The Official Transcript of the 1912 Senatorial Investigation (Best Multi-Voiced Presentation, 1999)[94]
City of Darkness (Best Solo Narration, 1999)",,,"Bram Stoker Award
I Have No Mouth, and I Must Scream (best other media – audio, 1999)",,,,,,
2000,,"Sues Stephen Robertson for posting four stories to the newsgroup ""alt.binaries.e-book"" without authorization. ",,,,,,,,"The Bradbury Award
Given by the Science Fiction and Fantasy Writers of America in 2000 to Harlan Ellison and Yuri Rasovsky for the radio series 2000X.

Writers Guild of Canada
The Human Operators / The Outer Limits (2000)
",,,,,,,,,
2001,,,,Troublemakers ,The Essential Ellison: a 50-Year Retrospective Revised & Expanded ,,,,,,,,,,,,,,
2002,,,,,,,,"The Outer Limits (TV Series) 
""Human Trials""",,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,
2006,,"At the Hugo Awards ceremony momentarily put his hand on  presenter Connie Willis' left breast.

Sues comic book and magazine publisher Fantagraphics, stating they had defamed him in their book Comics As Art (We Told You So).",,,,,,,,,,,,,,,"Grand Master Award (at Tempe, Arizona, May 6, 2006)",,
