OID,Country or Area,Year,Description,Magnitude,Value
17861...ZF...,IRELAND,1972,GOVERNMENT BOND YIELD,PERCENT PER ANNU,9.45031
13661B..ZF...,ITALY,1972,GOVT BOND YIELD: MEDIUM-TERM,PERCENT PER ANNU,6.59167
13661...ZF...,ITALY,1972,GOVERNMENT BOND YIELD,PERCENT PER ANNU,7.07537
34361...ZF...,JAMAICA,1972,GOVERNMENT BOND YIELD,PERCENT PER ANNU,8.35
15861...ZF...,JAPAN,1972,GOVENMENT BOND YIELD,PERCENT PER ANNU,6.695
13761...ZF...,LUXEMBOURG,1972,GOVERNMENT BOND YIELD,PERCENT PER ANNU,7.25
13861...ZF...,NETHERLANDS,1972,GOVERNMENT BOND YIELD,PERCENT PER ANNU,6.88
19661...ZF...,NEW ZEALAND,1972,GOVERNMENT BOND YIELD,PERCENT PER ANNU,5.52
14261...ZF...,NORWAY,1972,GOVERNMENT BOND YIELD,PERCENT PER ANNU,6.27
56461...ZF...,PAKISTAN,1972,GOVERNMENT BOND YIELD,PERCENT PER ANNU,5.76
18261...ZF...,PORTUGAL,1972,GOVERNMENT BOND YIELD,PERCENT PER ANNU,6.005
19961...ZF...,SOUTH AFRICA,1972,GOVERNMENT BOND YIELD,PERCENT PER ANNU,8.35333
14461...ZF...,SWEDEN,1972,GOVERNMENT BOND YIELD,PERCENT PER ANNU,7.2925
14661...ZF...,SWITZERLAND,1972,GOVERNMENT BOND YIELD,PERCENT PER ANNU,4.97
36961...ZF...,TRINIDAD AND TOBAGO,1972,GOVERNMENT BOND YIELD,PERCENT PER ANNU,7.83
11261A..ZF...,UNITED KINGDOM,1972,GOVT BOND YIELD: SHORT-TERM,PERCENT PER ANNU,7.545
11261...ZF...,UNITED KINGDOM,1972,GOVT BOND YIELD: LONG-TERM,PERCENT PER ANNU,8.9025
11161A..ZF...,UNITED STATES,1972,GOVT BOND YIELD: 3 YEAR,PERCENT PER ANNU,5.72083
11161...ZF...,UNITED STATES,1972,GOVT BOND YIELD: 10 YEAR,PERCENT PER ANNU,6.21
69861...ZF...,ZIMBABWE,1972,GOVERNMENT BOND YIELD,PERCENT PER ANNU,6.5
19361A..ZF...,AUSTRALIA,1973,TREASURY BONDS: 3 YEARS,PERCENT PER ANNU,6.3
19361...ZF...,AUSTRALIA,1973,TREASURY BONDS: 15 YEARS,PERCENT PER ANNU,6.93333
12261...ZF...,AUSTRIA,1973,GOVERNMENT BOND YIELD,PERCENT PER ANNU,8.25
12461...ZF...,BELGIUM,1973,GOVERNMENT BOND YIELD,PERCENT PER ANNU,7.35247
15661A..ZF...,CANADA,1973,GOVT BOND YIELD 3-5 YEARS,PERCENT PER ANNU,6.98417
15661...ZF...,CANADA,1973,GOVERNMENT BOND YIELD > 10 YRS.,PERCENT PER ANNU,7.56083
12861A..ZF...,DENMARK,1973,MORTGAGE BOND YIELD,PERCENT PER ANNU,11.83
12861...ZF...,DENMARK,1973,GOVERNMENT BOND YIELD,PERCENT PER ANNU,11.08
16361...ZF...,EURO AREA,1973,GOVERNMENT BOND YIELD,PERCENT PER ANNU,8.39973
81961...ZF...,FIJI,1973,AVG SHT TRM GOVT BONDS RATE,PERCENT PER ANNU,6.2
13261...ZF...,FRANCE,1973,GOVERNMENT BOND YIELD,PERCENT PER ANNU,8.33104
13461...ZF...,GERMANY,1973,GOVERNMENT BOND YIELD,PERCENT PER ANNU,9.2845
53461...ZF...,INDIA,1973,GOVERNMENT BOND YIELD,PERCENT PER ANNU,5.65
17861...ZF...,IRELAND,1973,GOVERNMENT BOND YIELD,PERCENT PER ANNU,12.3174
13661B..ZF...,ITALY,1973,GOVT BOND YIELD: MEDIUM-TERM,PERCENT PER ANNU,6.91917
13661...ZF...,ITALY,1973,GOVERNMENT BOND YIELD,PERCENT PER ANNU,7.02723
34361...ZF...,JAMAICA,1973,GOVERNMENT BOND YIELD,PERCENT PER ANNU,8.81
15861...ZF...,JAPAN,1973,GOVENMENT BOND YIELD,PERCENT PER ANNU,7.2625
13761...ZF...,LUXEMBOURG,1973,GOVERNMENT BOND YIELD,PERCENT PER ANNU,6.8
13861...ZF...,NETHERLANDS,1973,GOVERNMENT BOND YIELD,PERCENT PER ANNU,7.92
19661...ZF...,NEW ZEALAND,1973,GOVERNMENT BOND YIELD,PERCENT PER ANNU,5.8
14261...ZF...,NORWAY,1973,GOVERNMENT BOND YIELD,PERCENT PER ANNU,6.19
56461...ZF...,PAKISTAN,1973,GOVERNMENT BOND YIELD,PERCENT PER ANNU,5.76
18261...ZF...,PORTUGAL,1973,GOVERNMENT BOND YIELD,PERCENT PER ANNU,5.49583
19961...ZF...,SOUTH AFRICA,1973,GOVERNMENT BOND YIELD,PERCENT PER ANNU,7.8325
14461...ZF...,SWEDEN,1973,GOVERNMENT BOND YIELD,PERCENT PER ANNU,7.385
14661...ZF...,SWITZERLAND,1973,GOVERNMENT BOND YIELD,PERCENT PER ANNU,5.6
36961...ZF...,TRINIDAD AND TOBAGO,1973,GOVERNMENT BOND YIELD,PERCENT PER ANNU,7.99
11261A..ZF...,UNITED KINGDOM,1973,GOVT BOND YIELD: SHORT-TERM,PERCENT PER ANNU,10.4108
11261...ZF...,UNITED KINGDOM,1973,GOVT BOND YIELD: LONG-TERM,PERCENT PER ANNU,10.7125
11161A..ZF...,UNITED STATES,1973,GOVT BOND YIELD: 3 YEAR,PERCENT PER ANNU,6.955
11161...ZF...,UNITED STATES,1973,GOVT BOND YIELD: 10 YEAR,PERCENT PER ANNU,6.8425
69861...ZF...,ZIMBABWE,1973,GOVERNMENT BOND YIELD,PERCENT PER ANNU,6.5
19361A..ZF...,AUSTRALIA,1974,TREASURY BONDS: 3 YEARS,PERCENT PER ANNU,9.33
19361...ZF...,AUSTRALIA,1974,TREASURY BONDS: 15 YEARS,PERCENT PER ANNU,9.03667
12261...ZF...,AUSTRIA,1974,GOVERNMENT BOND YIELD,PERCENT PER ANNU,9.74
12461...ZF...,BELGIUM,1974,GOVERNMENT BOND YIELD,PERCENT PER ANNU,8.57376
15661A..ZF...,CANADA,1974,GOVT BOND YIELD 3-5 YEARS,PERCENT PER ANNU,8.12333
15661...ZF...,CANADA,1974,GOVERNMENT BOND YIELD > 10 YRS.,PERCENT PER ANNU,8.90333
12861A..ZF...,DENMARK,1974,MORTGAGE BOND YIELD,PERCENT PER ANNU,15.12
12861...ZF...,DENMARK,1974,GOVERNMENT BOND YIELD,PERCENT PER ANNU,14.55
16361...ZF...,EURO AREA,1974,GOVERNMENT BOND YIELD,PERCENT PER ANNU,10.1725
81961...ZF...,FIJI,1974,AVG SHT TRM GOVT BONDS RATE,PERCENT PER ANNU,7
13261...ZF...,FRANCE,1974,GOVERNMENT BOND YIELD,PERCENT PER ANNU,10.5576
13461...ZF...,GERMANY,1974,GOVERNMENT BOND YIELD,PERCENT PER ANNU,10.3827
53461...ZF...,INDIA,1974,GOVERNMENT BOND YIELD,PERCENT PER ANNU,6.035
17861...ZF...,IRELAND,1974,GOVERNMENT BOND YIELD,PERCENT PER ANNU,16.8427
13661B..ZF...,ITALY,1974,GOVT BOND YIELD: MEDIUM-TERM,PERCENT PER ANNU,9.61167
13661...ZF...,ITALY,1974,GOVERNMENT BOND YIELD,PERCENT PER ANNU,9.34833
34361...ZF...,JAMAICA,1974,GOVERNMENT BOND YIELD,PERCENT PER ANNU,10.41
15861...ZF...,JAPAN,1974,GOVENMENT BOND YIELD,PERCENT PER ANNU,9.26083
54261...ZF...,"KOREA, REPUBLIC OF",1974,"YLD.ON NAT'L HOUSING BONDS,1&2",PERCENT PER ANNU,20.9667
13761...ZF...,LUXEMBOURG,1974,GOVERNMENT BOND YIELD,PERCENT PER ANNU,7.27
13861...ZF...,NETHERLANDS,1974,GOVERNMENT BOND YIELD,PERCENT PER ANNU,9.83
19661...ZF...,NEW ZEALAND,1974,GOVERNMENT BOND YIELD,PERCENT PER ANNU,6.09
14261...ZF...,NORWAY,1974,GOVERNMENT BOND YIELD,PERCENT PER ANNU,7.1
56461...ZF...,PAKISTAN,1974,GOVERNMENT BOND YIELD,PERCENT PER ANNU,5.77
19961...ZF...,SOUTH AFRICA,1974,GOVERNMENT BOND YIELD,PERCENT PER ANNU,8.95833
14461...ZF...,SWEDEN,1974,GOVERNMENT BOND YIELD,PERCENT PER ANNU,7.785
14661...ZF...,SWITZERLAND,1974,GOVERNMENT BOND YIELD,PERCENT PER ANNU,7.15
36961...ZF...,TRINIDAD AND TOBAGO,1974,GOVERNMENT BOND YIELD,PERCENT PER ANNU,8.31
11261A..ZF...,UNITED KINGDOM,1974,GOVT BOND YIELD: SHORT-TERM,PERCENT PER ANNU,12.5117
11261...ZF...,UNITED KINGDOM,1974,GOVT BOND YIELD: LONG-TERM,PERCENT PER ANNU,14.7658
11161A..ZF...,UNITED STATES,1974,GOVT BOND YIELD: 3 YEAR,PERCENT PER ANNU,7.8225
11161...ZF...,UNITED STATES,1974,GOVT BOND YIELD: 10 YEAR,PERCENT PER ANNU,7.55667
69861...ZF...,ZIMBABWE,1974,GOVERNMENT BOND YIELD,PERCENT PER ANNU,6.5
19361A..ZF...,AUSTRALIA,1975,TREASURY BONDS: 3 YEARS,PERCENT PER ANNU,8.46
19361...ZF...,AUSTRALIA,1975,TREASURY BONDS: 15 YEARS,PERCENT PER ANNU,9.74167
12261...ZF...,AUSTRIA,1975,GOVERNMENT BOND YIELD,PERCENT PER ANNU,9.61
12461...ZF...,BELGIUM,1975,GOVERNMENT BOND YIELD,PERCENT PER ANNU,8.44118
15661A..ZF...,CANADA,1975,GOVT BOND YIELD 3-5 YEARS,PERCENT PER ANNU,7.71917
15661...ZF...,CANADA,1975,GOVERNMENT BOND YIELD > 10 YRS.,PERCENT PER ANNU,9.035
12861A..ZF...,DENMARK,1975,MORTGAGE BOND YIELD,PERCENT PER ANNU,12.96
12861...ZF...,DENMARK,1975,GOVERNMENT BOND YIELD,PERCENT PER ANNU,13.1
16361...ZF...,EURO AREA,1975,GOVERNMENT BOND YIELD,PERCENT PER ANNU,9.54814
81961...ZF...,FIJI,1975,AVG SHT TRM GOVT BONDS RATE,PERCENT PER ANNU,6.9
13261...ZF...,FRANCE,1975,GOVERNMENT BOND YIELD,PERCENT PER ANNU,9.63825
13461...ZF...,GERMANY,1975,GOVERNMENT BOND YIELD,PERCENT PER ANNU,8.48583
53461...ZF...,INDIA,1975,GOVERNMENT BOND YIELD,PERCENT PER ANNU,6.345
17861...ZF...,IRELAND,1975,GOVERNMENT BOND YIELD,PERCENT PER ANNU,14.625
13661B..ZF...,ITALY,1975,GOVT BOND YIELD: MEDIUM-TERM,PERCENT PER ANNU,10.0392
13661...ZF...,ITALY,1975,GOVERNMENT BOND YIELD,PERCENT PER ANNU,10.9268
34361...ZF...,JAMAICA,1975,GOVERNMENT BOND YIELD,PERCENT PER ANNU,11.1
15861...ZF...,JAPAN,1975,GOVENMENT BOND YIELD,PERCENT PER ANNU,9.2
54261...ZF...,"KOREA, REPUBLIC OF",1975,"YLD.ON NAT'L HOUSING BONDS,1&2",PERCENT PER ANNU,21.1
13761...ZF...,LUXEMBOURG,1975,GOVERNMENT BOND YIELD,PERCENT PER ANNU,6.73
13861...ZF...,NETHERLANDS,1975,GOVERNMENT BOND YIELD,PERCENT PER ANNU,8.79
19661...ZF...,NEW ZEALAND,1975,GOVERNMENT BOND YIELD,PERCENT PER ANNU,6.33
14261...ZF...,NORWAY,1975,GOVERNMENT BOND YIELD,PERCENT PER ANNU,7.29
56461...ZF...,PAKISTAN,1975,GOVERNMENT BOND YIELD,PERCENT PER ANNU,5.77
19961...ZF...,SOUTH AFRICA,1975,GOVERNMENT BOND YIELD,PERCENT PER ANNU,9.70833
14461...ZF...,SWEDEN,1975,GOVERNMENT BOND YIELD,PERCENT PER ANNU,8.7875
14661...ZF...,SWITZERLAND,1975,GOVERNMENT BOND YIELD,PERCENT PER ANNU,6.44
36961...ZF...,TRINIDAD AND TOBAGO,1975,GOVERNMENT BOND YIELD,PERCENT PER ANNU,8.25
11261A..ZF...,UNITED KINGDOM,1975,GOVT BOND YIELD: SHORT-TERM,PERCENT PER ANNU,11.4758
11261...ZF...,UNITED KINGDOM,1975,GOVT BOND YIELD: LONG-TERM,PERCENT PER ANNU,14.3925
11161A..ZF...,UNITED STATES,1975,GOVT BOND YIELD: 3 YEAR,PERCENT PER ANNU,7.49
11161...ZF...,UNITED STATES,1975,GOVT BOND YIELD: 10 YEAR,PERCENT PER ANNU,7.9875
69861...ZF...,ZIMBABWE,1975,GOVERNMENT BOND YIELD,PERCENT PER ANNU,6.5
19361A..ZF...,AUSTRALIA,1976,TREASURY BONDS: 3 YEARS,PERCENT PER ANNU,8.69
19361...ZF...,AUSTRALIA,1976,TREASURY BONDS: 15 YEARS,PERCENT PER ANNU,10.0308
12261...ZF...,AUSTRIA,1976,GOVERNMENT BOND YIELD,PERCENT PER ANNU,8.75
12461...ZF...,BELGIUM,1976,GOVERNMENT BOND YIELD,PERCENT PER ANNU,8.94024
15661A..ZF...,CANADA,1976,GOVT BOND YIELD 3-5 YEARS,PERCENT PER ANNU,8.35
15661...ZF...,CANADA,1976,GOVERNMENT BOND YIELD > 10 YRS.,PERCENT PER ANNU,9.17583
12861A..ZF...,DENMARK,1976,MORTGAGE BOND YIELD,PERCENT PER ANNU,15.03
12861...ZF...,DENMARK,1976,GOVERNMENT BOND YIELD,PERCENT PER ANNU,13.21
16361...ZF...,EURO AREA,1976,GOVERNMENT BOND YIELD,PERCENT PER ANNU,10.074
81961...ZF...,FIJI,1976,AVG SHT TRM GOVT BONDS RATE,PERCENT PER ANNU,6.6
13261...ZF...,FRANCE,1976,GOVERNMENT BOND YIELD,PERCENT PER ANNU,9.39394
13461...ZF...,GERMANY,1976,GOVERNMENT BOND YIELD,PERCENT PER ANNU,7.787
53461...ZF...,INDIA,1976,GOVERNMENT BOND YIELD,PERCENT PER ANNU,6.29
17861...ZF...,IRELAND,1976,GOVERNMENT BOND YIELD,PERCENT PER ANNU,15.4741
13661B..ZF...,ITALY,1976,GOVT BOND YIELD: MEDIUM-TERM,PERCENT PER ANNU,12.6567
13661...ZF...,ITALY,1976,GOVERNMENT BOND YIELD,PERCENT PER ANNU,12.386
34361...ZF...,JAMAICA,1976,GOVERNMENT BOND YIELD,PERCENT PER ANNU,11.6
15861...ZF...,JAPAN,1976,GOVENMENT BOND YIELD,PERCENT PER ANNU,8.71833
54261...ZF...,"KOREA, REPUBLIC OF",1976,"YLD.ON NAT'L HOUSING BONDS,1&2",PERCENT PER ANNU,21.6167
13761...ZF...,LUXEMBOURG,1976,GOVERNMENT BOND YIELD,PERCENT PER ANNU,7.23
13861...ZF...,NETHERLANDS,1976,GOVERNMENT BOND YIELD,PERCENT PER ANNU,8.95
19661...ZF...,NEW ZEALAND,1976,GOVERNMENT BOND YIELD,PERCENT PER ANNU,8.34
14261...ZF...,NORWAY,1976,GOVERNMENT BOND YIELD,PERCENT PER ANNU,7.25
56461...ZF...,PAKISTAN,1976,GOVERNMENT BOND YIELD,PERCENT PER ANNU,9.04
18261...ZF...,PORTUGAL,1976,GOVERNMENT BOND YIELD,PERCENT PER ANNU,9.73833
19961...ZF...,SOUTH AFRICA,1976,GOVERNMENT BOND YIELD,PERCENT PER ANNU,10.4367
14461...ZF...,SWEDEN,1976,GOVERNMENT BOND YIELD,PERCENT PER ANNU,9.28083
14661...ZF...,SWITZERLAND,1976,GOVERNMENT BOND YIELD,PERCENT PER ANNU,4.99
57861...ZF...,THAILAND,1976,GOVERNMENT BOND YIELD,PERCENT PER ANNU,8.5
36961...ZF...,TRINIDAD AND TOBAGO,1976,GOVERNMENT BOND YIELD,PERCENT PER ANNU,8.18
11261A..ZF...,UNITED KINGDOM,1976,GOVT BOND YIELD: SHORT-TERM,PERCENT PER ANNU,12.0633
11261...ZF...,UNITED KINGDOM,1976,GOVT BOND YIELD: LONG-TERM,PERCENT PER ANNU,14.43
11161A..ZF...,UNITED STATES,1976,GOVT BOND YIELD: 3 YEAR,PERCENT PER ANNU,6.77083
11161...ZF...,UNITED STATES,1976,GOVT BOND YIELD: 10 YEAR,PERCENT PER ANNU,7.61083
69861...ZF...,ZIMBABWE,1976,GOVERNMENT BOND YIELD,PERCENT PER ANNU,6.54
19361A..ZF...,AUSTRALIA,1977,TREASURY BONDS: 3 YEARS,PERCENT PER ANNU,9.74
19361...ZF...,AUSTRALIA,1977,TREASURY BONDS: 15 YEARS,PERCENT PER ANNU,10.2267
12261...ZF...,AUSTRIA,1977,GOVERNMENT BOND YIELD,PERCENT PER ANNU,8.74
12461...ZF...,BELGIUM,1977,GOVERNMENT BOND YIELD,PERCENT PER ANNU,8.69729
15661A..ZF...,CANADA,1977,GOVT BOND YIELD 3-5 YEARS,PERCENT PER ANNU,7.9025
15661...ZF...,CANADA,1977,GOVERNMENT BOND YIELD > 10 YRS.,PERCENT PER ANNU,8.7
12861A..ZF...,DENMARK,1977,MORTGAGE BOND YIELD,PERCENT PER ANNU,15.74
12861...ZF...,DENMARK,1977,GOVERNMENT BOND YIELD,PERCENT PER ANNU,13.38
16361...ZF...,EURO AREA,1977,GOVERNMENT BOND YIELD,PERCENT PER ANNU,10.15
81961...ZF...,FIJI,1977,AVG SHT TRM GOVT BONDS RATE,PERCENT PER ANNU,6.4
13261...ZF...,FRANCE,1977,GOVERNMENT BOND YIELD,PERCENT PER ANNU,9.93882
13461...ZF...,GERMANY,1977,GOVERNMENT BOND YIELD,PERCENT PER ANNU,6.18967
25861...ZF...,GUATEMALA,1977,RECONSTRUCTION BONOS(1976-77),PERCENT PER ANNU,8
53461...ZF...,INDIA,1977,GOVERNMENT BOND YIELD,PERCENT PER ANNU,6.315
17861...ZF...,IRELAND,1977,GOVERNMENT BOND YIELD,PERCENT PER ANNU,11.2884
13661B..ZF...,ITALY,1977,GOVT BOND YIELD: MEDIUM-TERM,PERCENT PER ANNU,14.7117
13661...ZF...,ITALY,1977,GOVERNMENT BOND YIELD,PERCENT PER ANNU,13.8429
34361...ZF...,JAMAICA,1977,GOVERNMENT BOND YIELD,PERCENT PER ANNU,11.7
15861...ZF...,JAPAN,1977,GOVENMENT BOND YIELD,PERCENT PER ANNU,7.3275
54261...ZF...,"KOREA, REPUBLIC OF",1977,"YLD.ON NAT'L HOUSING BONDS,1&2",PERCENT PER ANNU,21.4667
13761...ZF...,LUXEMBOURG,1977,GOVERNMENT BOND YIELD,PERCENT PER ANNU,7.03167
13861...ZF...,NETHERLANDS,1977,GOVERNMENT BOND YIELD,PERCENT PER ANNU,8.1
19661...ZF...,NEW ZEALAND,1977,GOVERNMENT BOND YIELD,PERCENT PER ANNU,9.23
14261...ZF...,NORWAY,1977,GOVERNMENT BOND YIELD,PERCENT PER ANNU,7.39
56461...ZF...,PAKISTAN,1977,GOVERNMENT BOND YIELD,PERCENT PER ANNU,9.27
18261...ZF...,PORTUGAL,1977,GOVERNMENT BOND YIELD,PERCENT PER ANNU,10.8017
19961...ZF...,SOUTH AFRICA,1977,GOVERNMENT BOND YIELD,PERCENT PER ANNU,11.0083
14461...ZF...,SWEDEN,1977,GOVERNMENT BOND YIELD,PERCENT PER ANNU,9.7425
14661...ZF...,SWITZERLAND,1977,GOVERNMENT BOND YIELD,PERCENT PER ANNU,4.05
57861...ZF...,THAILAND,1977,GOVERNMENT BOND YIELD,PERCENT PER ANNU,8.9
36961...ZF...,TRINIDAD AND TOBAGO,1977,GOVERNMENT BOND YIELD,PERCENT PER ANNU,8.07
11261A..ZF...,UNITED KINGDOM,1977,GOVT BOND YIELD: SHORT-TERM,PERCENT PER ANNU,10.0825
11261...ZF...,UNITED KINGDOM,1977,GOVT BOND YIELD: LONG-TERM,PERCENT PER ANNU,12.725
11161A..ZF...,UNITED STATES,1977,GOVT BOND YIELD: 3 YEAR,PERCENT PER ANNU,6.68583
11161...ZF...,UNITED STATES,1977,GOVT BOND YIELD: 10 YEAR,PERCENT PER ANNU,7.41917
69861...ZF...,ZIMBABWE,1977,GOVERNMENT BOND YIELD,PERCENT PER ANNU,7.63
19361A..ZF...,AUSTRALIA,1978,TREASURY BONDS: 3 YEARS,PERCENT PER ANNU,8.8
19361...ZF...,AUSTRALIA,1978,TREASURY BONDS: 15 YEARS,PERCENT PER ANNU,9.38917
12261...ZF...,AUSTRIA,1978,GOVERNMENT BOND YIELD,PERCENT PER ANNU,8.21
12461...ZF...,BELGIUM,1978,GOVERNMENT BOND YIELD,PERCENT PER ANNU,8.35141
15661A..ZF...,CANADA,1978,GOVT BOND YIELD 3-5 YEARS,PERCENT PER ANNU,8.99917
15661...ZF...,CANADA,1978,GOVERNMENT BOND YIELD > 10 YRS.,PERCENT PER ANNU,9.27
12861A..ZF...,DENMARK,1978,MORTGAGE BOND YIELD,PERCENT PER ANNU,16.51
12861...ZF...,DENMARK,1978,GOVERNMENT BOND YIELD,PERCENT PER ANNU,14.54
16361...ZF...,EURO AREA,1978,GOVERNMENT BOND YIELD,PERCENT PER ANNU,9.66
81961...ZF...,FIJI,1978,AVG SHT TRM GOVT BONDS RATE,PERCENT PER ANNU,6.2
13261...ZF...,FRANCE,1978,GOVERNMENT BOND YIELD,PERCENT PER ANNU,9.57193
13461...ZF...,GERMANY,1978,GOVERNMENT BOND YIELD,PERCENT PER ANNU,5.79033
25861...ZF...,GUATEMALA,1978,RECONSTRUCTION BONOS(1976-77),PERCENT PER ANNU,8
53461...ZF...,INDIA,1978,GOVERNMENT BOND YIELD,PERCENT PER ANNU,6.37
17861...ZF...,IRELAND,1978,GOVERNMENT BOND YIELD,PERCENT PER ANNU,12.8169
13661B..ZF...,ITALY,1978,GOVT BOND YIELD: MEDIUM-TERM,PERCENT PER ANNU,13.0525
13661...ZF...,ITALY,1978,GOVERNMENT BOND YIELD,PERCENT PER ANNU,12.9709
34361...ZF...,JAMAICA,1978,GOVERNMENT BOND YIELD,PERCENT PER ANNU,11.7
15861...ZF...,JAPAN,1978,GOVENMENT BOND YIELD,PERCENT PER ANNU,6.0925
54261...ZF...,"KOREA, REPUBLIC OF",1978,"YLD.ON NAT'L HOUSING BONDS,1&2",PERCENT PER ANNU,21.6
13761...ZF...,LUXEMBOURG,1978,GOVERNMENT BOND YIELD,PERCENT PER ANNU,6.62665
13861...ZF...,NETHERLANDS,1978,GOVERNMENT BOND YIELD,PERCENT PER ANNU,7.74
19661...ZF...,NEW ZEALAND,1978,GOVERNMENT BOND YIELD,PERCENT PER ANNU,9.97
14261...ZF...,NORWAY,1978,GOVERNMENT BOND YIELD,PERCENT PER ANNU,8.45
56461...ZF...,PAKISTAN,1978,GOVERNMENT BOND YIELD,PERCENT PER ANNU,9.48
18261...ZF...,PORTUGAL,1978,GOVERNMENT BOND YIELD,PERCENT PER ANNU,16.1667
19961...ZF...,SOUTH AFRICA,1978,GOVERNMENT BOND YIELD,PERCENT PER ANNU,10.3958
14461...ZF...,SWEDEN,1978,GOVERNMENT BOND YIELD,PERCENT PER ANNU,10.0925
14661...ZF...,SWITZERLAND,1978,GOVERNMENT BOND YIELD,PERCENT PER ANNU,3.33
57861...ZF...,THAILAND,1978,GOVERNMENT BOND YIELD,PERCENT PER ANNU,9.25
36961...ZF...,TRINIDAD AND TOBAGO,1978,GOVERNMENT BOND YIELD,PERCENT PER ANNU,8.07
11261A..ZF...,UNITED KINGDOM,1978,GOVT BOND YIELD: SHORT-TERM,PERCENT PER ANNU,11.3158
11261...ZF...,UNITED KINGDOM,1978,GOVT BOND YIELD: LONG-TERM,PERCENT PER ANNU,12.4692
11161A..ZF...,UNITED STATES,1978,GOVT BOND YIELD: 3 YEAR,PERCENT PER ANNU,8.28917
11161...ZF...,UNITED STATES,1978,GOVT BOND YIELD: 10 YEAR,PERCENT PER ANNU,8.41
69861...ZF...,ZIMBABWE,1978,GOVERNMENT BOND YIELD,PERCENT PER ANNU,8.75
19361A..ZF...,AUSTRALIA,1979,TREASURY BONDS: 3 YEARS,PERCENT PER ANNU,9.62
19361...ZF...,AUSTRALIA,1979,TREASURY BONDS: 15 YEARS,PERCENT PER ANNU,9.74917
12261...ZF...,AUSTRIA,1979,GOVERNMENT BOND YIELD,PERCENT PER ANNU,7.96
12461...ZF...,BELGIUM,1979,GOVERNMENT BOND YIELD,PERCENT PER ANNU,9.39729
15661A..ZF...,CANADA,1979,GOVT BOND YIELD 3-5 YEARS,PERCENT PER ANNU,10.4192
15661...ZF...,CANADA,1979,GOVERNMENT BOND YIELD > 10 YRS.,PERCENT PER ANNU,10.2133
12861A..ZF...,DENMARK,1979,MORTGAGE BOND YIELD,PERCENT PER ANNU,16.91
12861...ZF...,DENMARK,1979,GOVERNMENT BOND YIELD,PERCENT PER ANNU,15.82
16361...ZF...,EURO AREA,1979,GOVERNMENT BOND YIELD,PERCENT PER ANNU,10.41
81961...ZF...,FIJI,1979,AVG SHT TRM GOVT BONDS RATE,PERCENT PER ANNU,7.3
13261...ZF...,FRANCE,1979,GOVERNMENT BOND YIELD,PERCENT PER ANNU,9.87837
13461...ZF...,GERMANY,1979,GOVERNMENT BOND YIELD,PERCENT PER ANNU,7.38767
25861...ZF...,GUATEMALA,1979,RECONSTRUCTION BONOS(1976-77),PERCENT PER ANNU,8
53461...ZF...,INDIA,1979,GOVERNMENT BOND YIELD,PERCENT PER ANNU,6.45
17861...ZF...,IRELAND,1979,GOVERNMENT BOND YIELD,PERCENT PER ANNU,15.0546
13661B..ZF...,ITALY,1979,GOVT BOND YIELD: MEDIUM-TERM,PERCENT PER ANNU,13.0225
13661...ZF...,ITALY,1979,GOVERNMENT BOND YIELD,PERCENT PER ANNU,13.3102
34361...ZF...,JAMAICA,1979,GOVERNMENT BOND YIELD,PERCENT PER ANNU,12.28
15861...ZF...,JAPAN,1979,GOVENMENT BOND YIELD,PERCENT PER ANNU,7.6875
54261...ZF...,"KOREA, REPUBLIC OF",1979,"YLD.ON NAT'L HOUSING BONDS,1&2",PERCENT PER ANNU,25.1833
13761...ZF...,LUXEMBOURG,1979,GOVERNMENT BOND YIELD,PERCENT PER ANNU,6.76636
13861...ZF...,NETHERLANDS,1979,GOVERNMENT BOND YIELD,PERCENT PER ANNU,8.78
19661...ZF...,NEW ZEALAND,1979,GOVERNMENT BOND YIELD,PERCENT PER ANNU,12.04
14261...ZF...,NORWAY,1979,GOVERNMENT BOND YIELD,PERCENT PER ANNU,8.59
56461...ZF...,PAKISTAN,1979,GOVERNMENT BOND YIELD,PERCENT PER ANNU,9.75
18261...ZF...,PORTUGAL,1979,GOVERNMENT BOND YIELD,PERCENT PER ANNU,16.6833
19961...ZF...,SOUTH AFRICA,1979,GOVERNMENT BOND YIELD,PERCENT PER ANNU,9.26
18461...ZF...,SPAIN,1979,GOVERNMENT BOND YIELD,PERCENT PER ANNU,13.3082
14461...ZF...,SWEDEN,1979,GOVERNMENT BOND YIELD,PERCENT PER ANNU,10.4658
14661...ZF...,SWITZERLAND,1979,GOVERNMENT BOND YIELD,PERCENT PER ANNU,3.45
57861...ZF...,THAILAND,1979,GOVERNMENT BOND YIELD,PERCENT PER ANNU,13.25
36961...ZF...,TRINIDAD AND TOBAGO,1979,GOVERNMENT BOND YIELD,PERCENT PER ANNU,8.12
11261A..ZF...,UNITED KINGDOM,1979,GOVT BOND YIELD: SHORT-TERM,PERCENT PER ANNU,12.64
11261...ZF...,UNITED KINGDOM,1979,GOVT BOND YIELD: LONG-TERM,PERCENT PER ANNU,12.9875
11161A..ZF...,UNITED STATES,1979,GOVT BOND YIELD: 3 YEAR,PERCENT PER ANNU,9.715
11161...ZF...,UNITED STATES,1979,GOVT BOND YIELD: 10 YEAR,PERCENT PER ANNU,9.4425
69861...ZF...,ZIMBABWE,1979,GOVERNMENT BOND YIELD,PERCENT PER ANNU,8.75
